initial_prompt,prompt_schedule,num_tokens,num_adjectives,num_nouns
"In the winter park, all the snowmen are wearing their adventure hats","```python
prompts = [
    ""In the winter park, all the snowmen are wearing their adventure hats"",
    ""In the winter park, all the snowmen are wearing their adventure hats, snow-covered ground"",
    ""In the winter park, all the snowmen are wearing their adventure hats, snow-covered ground, tall trees dusted with snow"",
    ""In the winter park, all the snowmen are wearing their adventure hats, snow-covered ground, tall trees dusted with snow, a frozen pond reflecting the cloudy sky"",
    ""In the winter park, all the snowmen are wearing their adventure hats, snow-covered ground, tall trees dusted with snow, a frozen pond reflecting the cloudy sky, children playing nearby in bright winter coats""
]
```",13,0,5
Three cameras lay on three different wooden tables,"```python
prompts = [
    ""Three cameras lay on three different wooden tables"",
    ""Three cameras lay on three different wooden tables, rustic texture"",
    ""Three cameras lay on three different wooden tables, rustic texture, varying grains"",
    ""Three cameras lay on three different wooden tables, rustic texture, varying grains, dim lighting"",
    ""Three cameras lay on three different wooden tables, rustic texture, varying grains, dim lighting, shadows cast on the surface""
]
```",8,2,2
"Several orange kittens in a basket, each one looking very happy","```python
prompts = [
    ""Several orange kittens in a basket, each one looking very happy"",
    ""Several orange kittens in a basket, each one looking very happy, wicker weave visible"",
    ""Several orange kittens in a basket, each one looking very happy, wicker weave visible, red blanket inside"",
    ""Several orange kittens in a basket, each one looking very happy, wicker weave visible, red blanket inside, sunlight streaming through the window"",
    ""Several orange kittens in a basket, each one looking very happy, wicker weave visible, red blanket inside, sunlight streaming through the window, shadows of leaves dancing on the floor""
]
```",12,2,3
"A silver laptop sits open on the floor, not on the table","```python
prompts = [
    ""A silver laptop sits open on the floor, not on the table"",
    ""A silver laptop sits open on the floor, not on the table, sleek design"",
    ""A silver laptop sits open on the floor, not on the table, sleek design, shiny screen reflecting light"",
    ""A silver laptop sits open on the floor, not on the table, sleek design, shiny screen reflecting light, nearby power cable"",
    ""A silver laptop sits open on the floor, not on the table, sleek design, shiny screen reflecting light, nearby power cable, hardwood flooring beneath""
]
```",13,2,3
Nine red books stacked in a spiral,"```python
prompts = [
    ""Nine red books stacked in a spiral"",
    ""Nine red books stacked in a spiral, ornate covers"",
    ""Nine red books stacked in a spiral, ornate covers, oak table underneath"",
    ""Nine red books stacked in a spiral, ornate covers, oak table underneath, warm ambient lighting"",
    ""Nine red books stacked in a spiral, ornate covers, oak table underneath, warm ambient lighting, vintage globe beside""
]
```",7,1,3
A cactus in a green pot looks more vibrant than a cactus in a red pot,"```python
prompts = [
    ""A cactus in a green pot looks more vibrant than a cactus in a red pot"",
    ""A cactus in a green pot looks more vibrant than a cactus in a red pot, standing on a wooden table"",
    ""A cactus in a green pot looks more vibrant than a cactus in a red pot, standing on a wooden table, bathed in natural light"",
    ""A cactus in a green pot looks more vibrant than a cactus in a red pot, standing on a wooden table, bathed in natural light, near a large window"",
    ""A cactus in a green pot looks more vibrant than a cactus in a red pot, standing on a wooden table, bathed in natural light, near a large window, casting intricate shadows""
]
```",16,3,4
Five purple umbrellas open in a line,"```python
prompts = [
    ""Five purple umbrellas open in a line"",
    ""Five purple umbrellas open in a line, on a wet street"",
    ""Five purple umbrellas open in a line, on a wet street, reflecting city lights"",
    ""Five purple umbrellas open in a line, on a wet street, reflecting city lights, with pedestrians passing by"",
    ""Five purple umbrellas open in a line, on a wet street, reflecting city lights, with pedestrians passing by, tall buildings casting shadows""
]
```",7,1,2
A striped towel on a beach,"```python
prompts = [
    ""A striped towel on a beach"",
    ""A striped towel on a beach, golden sand"",
    ""A striped towel on a beach, golden sand, gentle waves"",
    ""A striped towel on a beach, golden sand, gentle waves, scattered seashells"",
    ""A striped towel on a beach, golden sand, gentle waves, scattered seashells, sun setting on the horizon""
]
```",6,1,2
"Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white","```python
prompts = [
    ""Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white"",
    ""Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white, wooden bench"",
    ""Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white, wooden bench, sunlit park"",
    ""Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white, wooden bench, sunlit park, grass-covered ground"",
    ""Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white, wooden bench, sunlit park, grass-covered ground, tall trees in the background""
]
```",27,4,6
Three ceramic mugs sit on the kitchen counter,"```python
prompts = [
    ""Three ceramic mugs sit on the kitchen counter"",
    ""Three ceramic mugs sit on the kitchen counter, one with a floral pattern"",
    ""Three ceramic mugs sit on the kitchen counter, one with a floral pattern, one plain"",
    ""Three ceramic mugs sit on the kitchen counter, one with a floral pattern, one plain, one with a chevron pattern"",
    ""Three ceramic mugs sit on the kitchen counter, one with a floral pattern, one plain, one with a chevron pattern, warm sunlight streaming through the window""
]
```",8,1,4
"Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic","```python
prompts = [
    ""Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic"",
    ""Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic, the pot is on a wooden table"",
    ""Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic, the pot is on a wooden table, a window lets in bright daylight"",
    ""Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic, the pot is on a wooden table, a window lets in bright daylight, the room has white walls"",
    ""Three spoons are in a ceramic pot: one is metal, one is wooden, and one is plastic, the pot is on a wooden table, a window lets in bright daylight, the room has white walls, a leafy plant in the corner""
]
```",20,3,3
"One round frame on the mantel has a photo in it, and one square frame has no photo in it","```python
prompts = [
    ""One round frame on the mantel has a photo in it, and one square frame has no photo in it"",
    ""One round frame on the mantel has a photo in it, and one square frame has no photo in it, polished wooden mantel"",
    ""One round frame on the mantel has a photo in it, and one square frame has no photo in it, polished wooden mantel, candle holder next to the frames"",
    ""One round frame on the mantel has a photo in it, and one square frame has no photo in it, polished wooden mantel, candle holder next to the frames, wallpaper with floral patterns in the background"",
    ""One round frame on the mantel has a photo in it, and one square frame has no photo in it, polished wooden mantel, candle holder next to the frames, wallpaper with floral patterns in the background, soft daylight coming through a window""
]
```",21,0,7
Four water bottles on a gym floor,"```python
prompts = [
    ""Four water bottles on a gym floor"",
    ""Four water bottles on a gym floor, all blue"",
    ""Four water bottles on a gym floor, all blue, surrounded by exercise mats"",
    ""Four water bottles on a gym floor, all blue, surrounded by exercise mats, in a room with mirrored walls"",
    ""Four water bottles on a gym floor, all blue, surrounded by exercise mats, in a room with mirrored walls, overhead fluorescent lights casting a soft glow""
]
```",7,0,4
Three children are all sitting on a couch,"```python
prompts = [
    ""Three children are all sitting on a couch"",
    ""Three children are all sitting on a couch, inside a cozy living room"",
    ""Three children are all sitting on a couch, inside a cozy living room, with a warm fire crackling in the fireplace"",
    ""Three children are all sitting on a couch, inside a cozy living room, with a warm fire crackling in the fireplace, books scattered on the coffee table"",
    ""Three children are all sitting on a couch, inside a cozy living room, with a warm fire crackling in the fireplace, books scattered on the coffee table, a large window showing falling snow outside""
]
```",8,0,2
"In a gift shop, all the glass cups are green","```python
prompts = [
    ""In a gift shop, all the glass cups are green"",
    ""In a gift shop, all the glass cups are green, shelves filled with trinkets"",
    ""In a gift shop, all the glass cups are green, shelves filled with trinkets, colorful wrapping paper displayed"",
    ""In a gift shop, all the glass cups are green, shelves filled with trinkets, colorful wrapping paper displayed, bright overhead lighting"",
    ""In a gift shop, all the glass cups are green, shelves filled with trinkets, colorful wrapping paper displayed, bright overhead lighting, a cashier counter in the corner""
]
```",11,1,4
"A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor","```python
prompts = [
    ""A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor"",
    ""A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor, wooden surface"",
    ""A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor, wooden surface, dimly lit room"",
    ""A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor, wooden surface, dimly lit room, vintage decor"",
    ""A bottle with wine is standing upright on a table, and a bottle without wine is lying on the floor, wooden surface, dimly lit room, vintage decor, shadows creating contrasts""
]
```",21,1,6
A little boy and a little girl each holding a baseball,"```python
prompts = [
    ""A little boy and a little girl each holding a baseball"",
    ""A little boy and a little girl each holding a baseball, standing on a grassy field"",
    ""A little boy and a little girl each holding a baseball, standing on a grassy field, a large oak tree in the background"",
    ""A little boy and a little girl each holding a baseball, standing on a grassy field, a large oak tree in the background, blue sky overhead"",
    ""A little boy and a little girl each holding a baseball, standing on a grassy field, a large oak tree in the background, blue sky overhead, scattered clouds drifting by""
]
```",11,3,2
A frosted glass bottle is to the left of a smooth glass bottle,"```python
prompts = [
    ""A frosted glass bottle is to the left of a smooth glass bottle"",
    ""A frosted glass bottle is to the left of a smooth glass bottle, both on a wooden table"",
    ""A frosted glass bottle is to the left of a smooth glass bottle, both on a wooden table, illuminated by soft ambient light"",
    ""A frosted glass bottle is to the left of a smooth glass bottle, both on a wooden table, illuminated by soft ambient light, with a background of lush green plants"",
    ""A frosted glass bottle is to the left of a smooth glass bottle, both on a wooden table, illuminated by soft ambient light, with a background of lush green plants, light filtering through gaps in the leaves""
]
```",13,2,5
The chairs around a metal table are all made of wood,"```python
prompts = [
    ""The chairs around a metal table are all made of wood"",
    ""The chairs around a metal table are all made of wood, polished surface"",
    ""The chairs around a metal table are all made of wood, polished surface, intricate carvings"",
    ""The chairs around a metal table are all made of wood, polished surface, intricate carvings, reflective table finish"",
    ""The chairs around a metal table are all made of wood, polished surface, intricate carvings, reflective table finish, surrounded by tall windows""
]
```",11,0,4
Peppers in a bamboo basket are all green,"```python
prompts = [
    ""Peppers in a bamboo basket are all green"",
    ""Peppers in a bamboo basket are all green, tightly packed"",
    ""Peppers in a bamboo basket are all green, tightly packed, on a wooden table"",
    ""Peppers in a bamboo basket are all green, tightly packed, on a wooden table, surrounded by foliage"",
    ""Peppers in a bamboo basket are all green, tightly packed, on a wooden table, surrounded by foliage, natural sunlight filtering through leaves""
]
```",8,1,3
A little piggy is standing on a green ball with a smaller red ball on top of its head,"```python
prompts = [
    ""A little piggy is standing on a green ball with a smaller red ball on top of its head"",
    ""A little piggy is standing on a green ball with a smaller red ball on top of its head, grassy field"",
    ""A little piggy is standing on a green ball with a smaller red ball on top of its head, grassy field, sunny day"",
    ""A little piggy is standing on a green ball with a smaller red ball on top of its head, grassy field, sunny day, fluffy white clouds"",
    ""A little piggy is standing on a green ball with a smaller red ball on top of its head, grassy field, sunny day, fluffy white clouds, trees in the distance""
]
```",19,4,5
"Three boys playing a computer game together, each with a headset","```python
prompts = [
    ""Three boys playing a computer game together, each with a headset"",
    ""Three boys playing a computer game together, each with a headset, sitting at a shared table"",
    ""Three boys playing a computer game together, each with a headset, sitting at a shared table, bright computer screens"",
    ""Three boys playing a computer game together, each with a headset, sitting at a shared table, bright computer screens, wires and controllers scattered"",
    ""Three boys playing a computer game together, each with a headset, sitting at a shared table, bright computer screens, wires and controllers scattered, cozy room with posters on the walls""
]
```",12,0,4
Four opened cardboard boxes and one unopened plastic box,"```python
prompts = [
    ""Four opened cardboard boxes and one unopened plastic box"",
    ""Four opened cardboard boxes and one unopened plastic box, scattered papers"",
    ""Four opened cardboard boxes and one unopened plastic box, scattered papers, dusty shelves"",
    ""Four opened cardboard boxes and one unopened plastic box, scattered papers, dusty shelves, dimly lit room"",
    ""Four opened cardboard boxes and one unopened plastic box, scattered papers, dusty shelves, dimly lit room, flickering fluorescent light overhead""
]
```",9,1,4
All the figurines on the bookshelf are white,"```python
prompts = [
    ""All the figurines on the bookshelf are white"",
    ""All the figurines on the bookshelf are white, arranged in neat rows"",
    ""All the figurines on the bookshelf are white, arranged in neat rows, diverse in shape"",
    ""All the figurines on the bookshelf are white, arranged in neat rows, diverse in shape, cast from porcelain"",
    ""All the figurines on the bookshelf are white, arranged in neat rows, diverse in shape, cast from porcelain, accentuated by a warm golden lamp light""
]
```",8,1,2
All the boys on the platform are singing,"```python
prompts = [
    ""All the boys on the platform are singing"",
    ""All the boys on the platform are singing, surrounded by city lights"",
    ""All the boys on the platform are singing, surrounded by city lights, beneath a vast night sky"",
    ""All the boys on the platform are singing, surrounded by city lights, beneath a vast night sky, trains passing in the background"",
    ""All the boys on the platform are singing, surrounded by city lights, beneath a vast night sky, trains passing in the background, vibrant graffiti on the walls""
]
```",8,0,2
A little boy with a ping pong paddle looks more excited than a little girl without one,"```python
prompts = [
    ""A little boy with a ping pong paddle looks more excited than a little girl without one"",
    ""A little boy with a ping pong paddle looks more excited than a little girl without one, standing indoors"",
    ""A little boy with a ping pong paddle looks more excited than a little girl without one, standing indoors, visible table between them"",
    ""A little boy with a ping pong paddle looks more excited than a little girl without one, standing indoors, visible table between them, bright overhead lights"",
    ""A little boy with a ping pong paddle looks more excited than a little girl without one, standing indoors, visible table between them, bright overhead lights, vibrant wall decor""
]
```",17,5,3
A strange fox with two tails,"```python
prompts = [
    ""A strange fox with two tails"",
    ""A strange fox with two tails, standing in a lush forest"",
    ""A strange fox with two tails, standing in a lush forest, sunlight filtering through the trees"",
    ""A strange fox with two tails, standing in a lush forest, sunlight filtering through the trees, vibrant green foliage"",
    ""A strange fox with two tails, standing in a lush forest, sunlight filtering through the trees, vibrant green foliage, dappled light creating patterns on the ground""
]
```",6,1,2
A vibrant blue rose blooming on a red lush rose bush,"```python
prompts = [
    ""A vibrant blue rose blooming on a red lush rose bush"",
    ""A vibrant blue rose blooming on a red lush rose bush, glossy green leaves"",
    ""A vibrant blue rose blooming on a red lush rose bush, glossy green leaves, morning dew"",
    ""A vibrant blue rose blooming on a red lush rose bush, glossy green leaves, morning dew, rich soil beneath"",
    ""A vibrant blue rose blooming on a red lush rose bush, glossy green leaves, morning dew, rich soil beneath, a clear sky overhead""
]
```",11,2,3
A maple tree on each side of a country road,"```python
prompts = [
    ""A maple tree on each side of a country road"",
    ""A maple tree on each side of a country road, with a dirt path in the center"",
    ""A maple tree on each side of a country road, with a dirt path in the center, fallen leaves scattered"",
    ""A maple tree on each side of a country road, with a dirt path in the center, fallen leaves scattered, autumn colors present"",
    ""A maple tree on each side of a country road, with a dirt path in the center, fallen leaves scattered, autumn colors present, rolling hills in the distance""
]
```",10,1,4
"Two children blowing dandelion seeds, watched by two others","```python
prompts = [
    ""Two children blowing dandelion seeds, watched by two others"",
    ""Two children blowing dandelion seeds, watched by two others, open grassy field"",
    ""Two children blowing dandelion seeds, watched by two others, open grassy field, clear blue sky"",
    ""Two children blowing dandelion seeds, watched by two others, open grassy field, clear blue sky, gentle sunlight"",
    ""Two children blowing dandelion seeds, watched by two others, open grassy field, clear blue sky, gentle sunlight, distant trees lining the horizon""
]
```",10,0,4
Two flies resting near the window on a sunny afternoon,"```python
prompts = [
    ""Two flies resting near the window on a sunny afternoon"",
    ""Two flies resting near the window on a sunny afternoon, sunlight casting patterns"",
    ""Two flies resting near the window on a sunny afternoon, sunlight casting patterns, clear glass pane"",
    ""Two flies resting near the window on a sunny afternoon, sunlight casting patterns, clear glass pane, gentle shadows of leaves"",
    ""Two flies resting near the window on a sunny afternoon, sunlight casting patterns, clear glass pane, gentle shadows of leaves, warm golden glow""
]
```",10,1,3
Four squirrels playing around an ancient oak tree,"```python
prompts = [
    ""Four squirrels playing around an ancient oak tree"",
    ""Four squirrels playing around an ancient oak tree, gnarled roots"",
    ""Four squirrels playing around an ancient oak tree, gnarled roots, lush green foliage"",
    ""Four squirrels playing around an ancient oak tree, gnarled roots, lush green foliage, scattered acorns"",
    ""Four squirrels playing around an ancient oak tree, gnarled roots, lush green foliage, scattered acorns, dappled sunlight filtering through the leaves""
]
```",8,1,3
A small cactus with six bright pink flowers on a sunny windowsill,"```python
prompts = [
    ""A small cactus with six bright pink flowers on a sunny windowsill"",
    ""A small cactus with six bright pink flowers on a sunny windowsill, warm sunlight streaming through the glass"",
    ""A small cactus with six bright pink flowers on a sunny windowsill, warm sunlight streaming through the glass, casting long shadows"",
    ""A small cactus with six bright pink flowers on a sunny windowsill, warm sunlight streaming through the glass, casting long shadows, wooden window frame"",
    ""A small cactus with six bright pink flowers on a sunny windowsill, warm sunlight streaming through the glass, casting long shadows, wooden window frame, a clear blue sky outside""
]
```",12,2,4
A fluffy rabbit nibbling on one of three carrots laid out in front of it,"```python
prompts = [
    ""A fluffy rabbit nibbling on one of three carrots laid out in front of it"",
    ""A fluffy rabbit nibbling on one of three carrots laid out in front of it, lush green grass"",
    ""A fluffy rabbit nibbling on one of three carrots laid out in front of it, lush green grass, gentle sunlight"",
    ""A fluffy rabbit nibbling on one of three carrots laid out in front of it, lush green grass, gentle sunlight, a nearby burrow"",
    ""A fluffy rabbit nibbling on one of three carrots laid out in front of it, lush green grass, gentle sunlight, a nearby burrow, a cluster of colorful wildflowers""
]
```",15,1,3
Sunflowers bloom facing the morning sun in a vibrant garden,"```python
prompts = [
    ""Sunflowers bloom facing the morning sun in a vibrant garden"",
    ""Sunflowers bloom facing the morning sun in a vibrant garden, lush green foliage"",
    ""Sunflowers bloom facing the morning sun in a vibrant garden, lush green foliage, dappled sunlight"",
    ""Sunflowers bloom facing the morning sun in a vibrant garden, lush green foliage, dappled sunlight, clear blue sky"",
    ""Sunflowers bloom facing the morning sun in a vibrant garden, lush green foliage, dappled sunlight, clear blue sky, gentle breeze swaying the flowers""
]
```",10,1,4
A brown squirrel holding two acorns under a bushy oak tree,"```python
prompts = [
    ""A brown squirrel holding two acorns under a bushy oak tree"",
    ""A brown squirrel holding two acorns under a bushy oak tree, fallen autumn leaves"",
    ""A brown squirrel holding two acorns under a bushy oak tree, fallen autumn leaves, acorn scattered ground"",
    ""A brown squirrel holding two acorns under a bushy oak tree, fallen autumn leaves, acorn scattered ground, sun-dappled forest floor"",
    ""A brown squirrel holding two acorns under a bushy oak tree, fallen autumn leaves, acorn scattered ground, sun-dappled forest floor, nearby rustling bushes""
]
```",11,2,4
Two colors of pots in a flower garden,"prompts = [
    ""Two colors of pots in a flower garden"",
    ""Two colors of pots in a flower garden, green pots have tulips"",
    ""Two colors of pots in a flower garden, green pots have tulips, yellow pots empty"",
    ""Two colors of pots in a flower garden, green pots have tulips, yellow pots empty, vibrant tulips among greenery"",
    ""Two colors of pots in a flower garden, green pots have tulips, yellow pots empty, vibrant tulips among greenery, sunlit garden path""
]",8,0,4
A canary stands beside a green book,"```python
prompts = [
    ""A canary stands beside a green book"",
    ""A canary stands beside a green book, wooden table"",
    ""A canary stands beside a green book, wooden table, soft daylight filtering through a window"",
    ""A canary stands beside a green book, wooden table, soft daylight filtering through a window, vintage clock on the wall"",
    ""A canary stands beside a green book, wooden table, soft daylight filtering through a window, vintage clock on the wall, intricate patterns on the book cover""
]
```",7,2,2
A room with two lamps that glow green and one that glows red,"```python
prompts = [
    ""A room with two lamps that glow green and one that glows red"",
    ""A room with two lamps that glow green and one that glows red, wooden floor"",
    ""A room with two lamps that glow green and one that glows red, wooden floor, white walls"",
    ""A room with two lamps that glow green and one that glows red, wooden floor, white walls, large window"",
    ""A room with two lamps that glow green and one that glows red, wooden floor, white walls, large window, soft moonlight streaming in""
]
```",13,2,2
"Three vintage cars parked in a row, each a different color","```python
prompts = [
    ""Three vintage cars parked in a row, each a different color"",
    ""Three vintage cars parked in a row, each a different color, cobblestone street"",
    ""Three vintage cars parked in a row, each a different color, cobblestone street, old brick buildings"",
    ""Three vintage cars parked in a row, each a different color, cobblestone street, old brick buildings, overcast sky"",
    ""Three vintage cars parked in a row, each a different color, cobblestone street, old brick buildings, overcast sky, dim streetlights casting a warm glow""
]
```",12,1,4
"Three little boys are sitting on the grass, and the boy in the middle looks the strongest","```python
prompts = [
    ""Three little boys are sitting on the grass, and the boy in the middle looks the strongest"",
    ""Three little boys are sitting on the grass, the boy in the middle looks the strongest, a large oak tree providing shade"",
    ""Three little boys are sitting on the grass, the boy in the middle looks the strongest, a large oak tree providing shade, colorful kites flying overhead"",
    ""Three little boys are sitting on the grass, the boy in the middle looks the strongest, a large oak tree providing shade, colorful kites flying overhead, a serene lake in the distance"",
    ""Three little boys are sitting on the grass, the boy in the middle looks the strongest, a large oak tree providing shade, colorful kites flying overhead, a serene lake in the distance, fluffy white clouds dotting the sky""
]
```",18,3,3
"Two pens, yet neither has a cap","```python
prompts = [
    ""Two pens, yet neither has a cap"",
    ""Two pens, yet neither has a cap, resting on a wooden desk"",
    ""Two pens, yet neither has a cap, resting on a wooden desk, one black, one blue"",
    ""Two pens, yet neither has a cap, resting on a wooden desk, one black, one blue, sunlight streaming through a nearby window"",
    ""Two pens, yet neither has a cap, resting on a wooden desk, one black, one blue, sunlight streaming through a nearby window, casting long shadows on the surface""
]
```",8,0,2
The little girl in the garden has roses in both hands,"```python
prompts = [
    ""The little girl in the garden has roses in both hands"",
    ""The little girl in the green garden has roses in both hands, vibrant flowers"",
    ""The little girl in the green garden has roses in both hands, vibrant flowers, lush bushes"",
    ""The little girl in the green garden has roses in both hands, vibrant flowers, lush bushes, stone pathways"",
    ""The little girl in the green garden has roses in both hands, vibrant flowers, lush bushes, stone pathways, a wooden bench by a tall oak tree""
]
```",11,1,3
A succulent plant with a rose pattern on its pot,"```python
prompts = [
    ""A succulent plant with a rose pattern on its pot"",
    ""A succulent plant with a rose pattern on its pot, sitting on a wooden table"",
    ""A succulent plant with a rose pattern on its pot, sitting on a wooden table, in a bright sunlit room"",
    ""A succulent plant with a rose pattern on its pot, sitting on a wooden table, in a bright sunlit room, surrounded by other plant pots"",
    ""A succulent plant with a rose pattern on its pot, sitting on a wooden table, in a bright sunlit room, surrounded by other plant pots, beside a window with flowing curtains""
]
```",10,0,4
An alien holding a different telescope in each hand,"```python
prompts = [
    ""An alien holding a different telescope in each hand"",
    ""An alien holding a different telescope in each hand, standing on a rocky planet surface"",
    ""An alien holding a different telescope in each hand, standing on a rocky planet surface, faint glowing rings encircle the planet"",
    ""An alien holding a different telescope in each hand, standing on a rocky planet surface, faint glowing rings encircle the planet, distant stars twinkling in the black sky"",
    ""An alien holding a different telescope in each hand, standing on a rocky planet surface, faint glowing rings encircle the planet, distant stars twinkling in the black sky, far-off galaxies forming nebulous clouds""
]
```",9,1,3
"A gorgeous vinyl record player sits next to a smaller, older vinyl record player","```python
prompts = [
    ""A gorgeous vinyl record player sits next to a smaller, older vinyl record player"",
    ""A gorgeous vinyl record player sits next to a smaller, older vinyl record player, wooden base"",
    ""A gorgeous vinyl record player sits next to a smaller, older vinyl record player, wooden base, shiny tonearm"",
    ""A gorgeous vinyl record player sits next to a smaller, older vinyl record player, wooden base, shiny tonearm, worn-out speaker"",
    ""A gorgeous vinyl record player sits next to a smaller, older vinyl record player, wooden base, shiny tonearm, worn-out speaker, scattered vintage records around""
]
```",15,4,6
"A cat curiously looks at a set of ceramic cups, all adorned with cat patterns","```python
prompts = [
    ""A cat curiously looks at a set of ceramic cups, all adorned with cat patterns"",
    ""A cat curiously looks at a set of ceramic cups, all adorned with cat patterns, sitting on a wooden table"",
    ""A cat curiously looks at a set of ceramic cups, all adorned with cat patterns, sitting on a wooden table, surrounded by plants"",
    ""A cat curiously looks at a set of ceramic cups, all adorned with cat patterns, sitting on a wooden table, surrounded by plants, sunlight streaming through a window"",
    ""A cat curiously looks at a set of ceramic cups, all adorned with cat patterns, sitting on a wooden table, surrounded by plants, sunlight streaming through a window, casting intricate shadows on the table""
]
```",16,1,5
"Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated","```python
prompts = [
    ""Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated"",
    ""Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated, wooden surface"",
    ""Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated, wooden surface, warm light casting soft shadows"",
    ""Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated, wooden surface, warm light casting soft shadows, books neatly stacked nearby"",
    ""Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated, wooden surface, warm light casting soft shadows, books neatly stacked nearby, a window overlooking a nighttime cityscape""
]
```",23,1,7
"In the yoga room, all the mats are red","```python
prompts = [
    ""In the yoga room, all the mats are red"",
    ""In the yoga room, all the mats are red, large open windows"",
    ""In the yoga room, all the mats are red, large open windows, hardwood floors"",
    ""In the yoga room, all the mats are red, large open windows, hardwood floors, soft natural light"",
    ""In the yoga room, all the mats are red, large open windows, hardwood floors, soft natural light, scattered meditation cushions""
]
```",10,1,3
A vandalized room with all the coffee machines cluttering the floor,"```python
prompts = [
    ""A vandalized room with all the coffee machines cluttering the floor"",
    ""A vandalized room with all the coffee machines cluttering the floor, cracked tiles"",
    ""A vandalized room with all the coffee machines cluttering the floor, cracked tiles, torn wallpaper"",
    ""A vandalized room with all the coffee machines cluttering the floor, cracked tiles, torn wallpaper, broken chairs"",
    ""A vandalized room with all the coffee machines cluttering the floor, cracked tiles, torn wallpaper, broken chairs, shattered window panes letting in a faint light""
]
```",11,1,4
"A group of students gathered around a panda, all with digital cameras in their hands","```python
prompts = [
    ""A group of students gathered around a panda, all with digital cameras in their hands"",
    ""A group of students gathered around a panda, all with digital cameras in their hands, lush green park"",
    ""A group of students gathered around a panda, all with digital cameras in their hands, lush green park, colorful wildflowers"",
    ""A group of students gathered around a panda, all with digital cameras in their hands, lush green park, colorful wildflowers, sunlight filtering through trees"",
    ""A group of students gathered around a panda, all with digital cameras in their hands, lush green park, colorful wildflowers, sunlight filtering through trees, panda playful and curious""
]
```",16,1,5
"A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top","```python
prompts = [
    ""A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top"",
    ""A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top, colorful graffiti-covered boards"",
    ""A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top, colorful graffiti-covered boards, a concrete skatepark backdrop"",
    ""A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top, colorful graffiti-covered boards, a concrete skatepark backdrop, scattered leaves nearby"",
    ""A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top, colorful graffiti-covered boards, a concrete skatepark backdrop, scattered leaves nearby, a clear blue sky overhead""
]
```",19,1,4
Overhead view of a village with solar charging panels on each house,"```python
prompts = [
    ""Overhead view of a village with solar charging panels on each house"",
    ""Overhead view of a village with solar charging panels on each house, cobblestone streets"",
    ""Overhead view of a village with solar charging panels on each house, cobblestone streets, lush green fields"",
    ""Overhead view of a village with solar charging panels on each house, cobblestone streets, lush green fields, distant rolling hills"",
    ""Overhead view of a village with solar charging panels on each house, cobblestone streets, lush green fields, distant rolling hills, clear blue sky""
]
```",12,1,5
A Bluetooth speaker,"```python
prompts = [
    ""A Bluetooth speaker"",
    ""A Bluetooth speaker, sleek modern design"",
    ""A Bluetooth speaker, sleek modern design, metallic finish"",
    ""A Bluetooth speaker, sleek modern design, metallic finish, digital control panel"",
    ""A Bluetooth speaker, sleek modern design, metallic finish, digital control panel, subtle glowing indicator lights""
]
```",3,0,2
A happy little girl holding a watercolour set in her hand and looking at her mother,"```python
prompts = [
    ""A happy little girl holding a watercolour set in her hand and looking at her mother"",
    ""A happy little girl holding a watercolour set in her hand and looking at her mother, sunlit room"",
    ""A happy little girl holding a watercolour set in her hand and looking at her mother, sunlit room, floral curtains"",
    ""A happy little girl holding a watercolour set in her hand and looking at her mother, sunlit room, floral curtains, wooden table scattered with colored papers"",
    ""A happy little girl holding a watercolour set in her hand and looking at her mother, sunlit room, floral curtains, wooden table scattered with colored papers, mother smiling warmly at her""
]
```",16,2,5
